Country,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,185","11,072","11,384","15,611","16,056","37,108","33,886","39,182","40,319","36,932","33,331","34,413","45,684","47,168","64,886","78,092","103,496","112,578","159,011","126,581","104,673","121,711","146,717","165,887","104,111","91,963","102,577","137,982","175,143","282,492","306,468","349,071","457,161","550,792","676,548","788,335","953,110","1,052,443","1,060,406","1,180,991","1,292,086","1,394,235","1,725,490","1,804,713","1,781,803","2,000,117","2,161,626","2,009,201","1,836,222","1,895,087","1,923,369","2,031,301","1,974,637","1,927,577","1,886,332","2,050,088","2,079,524","2,101,297"
Other Asia Pacific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75,567","77,307","79,164","81,010","82,834","84,757","86,721","88,725","90,769","92,962","95,144","97,367","99,699","102,125","104,330","106,563","109,032","111,536","114,194","116,915","119,494","122,067","124,844","127,652","130,535","133,371","136,290","139,302","154,332","175,821","204,180","233,750","271,158","303,368","336,451","349,367","404,150","425,035","468,066","511,699","520,171","528,767","537,415","546,020","554,631","563,051","571,323","579,629","595,196","573,669","581,441","588,309","595,685","600,000","600,000","600,000","600,000","600,000"
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World,,,,,,,,,"2,759,242","2,875,280","2,922,422","3,180,426","2,838,827","2,796,154","2,820,380","2,890,569","3,097,902","3,156,283","3,440,034","3,164,081","3,098,265","3,436,451","3,715,860","3,662,736","3,849,992","4,006,781","3,843,952","3,972,568","4,046,362","4,333,053","4,665,378","5,033,175","4,781,093","4,879,918","4,924,156","4,855,375","5,079,687","5,395,334","5,679,201","5,838,970","5,871,898","6,123,127","6,104,192","6,144,636","5,719,020","6,312,365","8,063,849","8,037,337","8,100,719","8,096,082","12,840,645","14,849,345","15,612,833","15,785,882","16,858,282","17,481,383","18,104,644","18,477,388","19,073,458","19,068,934","20,138,812","21,029,101","21,620,534","22,653,620","23,156,917","23,534,826","23,535,296","23,673,473","24,080,295","24,520,551","24,819,138","25,980,648","26,460,380","26,315,407","24,315,207","25,130,885","27,009,433","26,333,920","26,966,242","21,901,931","18,516,965","17,215,242","13,701,281","12,724,362","12,518,375","11,305,428","12,547,957","11,261,139","11,327,202","12,564,369","13,606,952","13,416,199","13,822,373","14,099,613","14,551,842","13,678,897","11,601,180","10,880,816","10,987,067","11,368,040","10,911,705","9,487,491","1,606,996","1,635,931","3,645,838","3,604,891","3,764,250","3,502,968","3,599,404","3,751,080","499,609","542,908","635,283","626,591","753,519","16,385,708","16,571,568","17,101,835","17,285,047","16,961,232","17,480,772","17,650,464","17,721,083","17,989,269","18,705,784","18,933,300","49,209,389","49,955,237","52,902,992","56,314,453","57,676,047","60,149,031","62,227,833","64,268,281","67,975,788","71,494,044","73,829,538","76,815,293","81,379,503","83,875,254","85,977,498","88,521,490","90,706,906","93,856,920","95,745,648","96,604,494","98,478,056","100,058,384","101,864,387","101,763,220","103,174,164","104,978,868","106,738,717","111,941,596","115,244,083","120,752,749","123,249,508","126,549,092","126,436,961","129,767,054","135,249,524","140,479,939","140,777,132","140,386,867","148,075,488","147,368,337","149,652,740","142,935,539","147,496,541","148,267,346","154,281,896","163,499,322","172,388,229","175,775,161","177,017,259","180,103,361","183,674,552","186,581,769","186,993,172","187,009,824","184,766,378","183,501,444","184,964,595","188,200,165"
Unnamed: 55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coeff. of variation,1.1,1.08,1.05,1.04,1.02,1.1,0.99,0.95,1.33,1.32,1.31,1.31,1.35,1.38,1.37,1.35,1.34,1.34,1.31,1.28,1.22,1.22,1.2,1.48,1.24,1.27,1.5,1.24,1.25,1.53,1.27,1.28,1.56,1.27,1.27,1.32,1.58,1.33,1.33,1.6,1.35,1.35,1.34,1.6,1.59,1.66,1.53,1.54,1.64,1.64,1.44,1.37,1.36,1.35,1.38,1.38,1.38,1.37,1.28,1.26,1.4,1.31,1.33,1.45,1.44,1.44,1.44,1.43,1.43,1.42,1.42,1.41,1.43,1.41,1.4,1.4,1.39,1.4,1.34,1.55,1.58,1.58,1.74,1.64,1.31,1.44,1.34,1.39,1.31,1.39,1.47,1.48,1.51,1.48,1.5,1.39,1.32,1.32,1.36,1.4,1.18,1.3,1.09,1.05,1.39,1.37,1.39,1.42,1.08,1.42,1.02,0.95,1.01,1.01,0.96,1.58,1.56,1.65,1.64,1.61,1.59,1.58,1.54,1.52,1.52,1.52,2.03,2.07,2.04,2.04,2.02,2,1.97,1.96,1.97,1.93,1.94,1.91,1.87,1.87,1.87,1.86,1.85,1.82,1.84,1.85,1.85,1.83,1.81,1.81,1.76,1.74,1.74,1.68,1.63,1.62,1.58,1.63,1.63,1.63,1.62,1.67,1.66,1.64,1.68,1.69,1.68,1.71,1.74,1.79,1.81,1.86,1.92,1.95,2.01,2.04,2.08,2.11,2.16,2.14,2.13,,,
Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"140,381","135,044","145,032","145,311","153,064","159,295","167,361","182,343","196,661","210,152","224,642","237,728","243,798","255,942","265,373","261,253","265,953","268,774","267,881","251,493","234,139","245,973","235,779","243,806","242,691","262,080","262,379","265,665","261,129","264,856","269,910","262,899","255,845","265,015","266,395","280,406","288,783","312,172","281,596","292,412","282,862","291,451","279,978","239,269","242,702","253,869","260,122","270,455","260,778","251,636","245,583","242,812","248,089","254,906","257,477","268,759","267,262","277,033"
Unnamed: 58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unnamed: 59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unnamed: 60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unnamed: 61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unnamed: 62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unnamed: 63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
