"T16 Volume of wine imports, 1835 to 2016 (KL)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,France,Italy,Portugal,Spain,Austria,Bel-Lux,Denmark,Finland,Germany,Greece,Ireland,Netherlands,Sweden,Switzerland,United Kingdom,Other WEM,Bulgaria,Croatia,Georgia,Hungary,Moldova,Romania,Russia,Ukraine,Other ECA,Australia,New Zealand,Canada,United States,Argentina,Brazil,Chile,Mexico,Uruguay,Other LAC,Algeria,Morocco,South Africa,Tunisia,Turkey,Other AME,China,Hong Kong,India,Japan,Korea,Malaysia,Philippines,Singapore,Taiwan,Thailand,Other Asia Pacific,Other,World,,Coeff. of variation,,Norway
1835,216,,,,,,,,,,,,,,"41,094",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
1836,282,,,,,,,,,,,,,,"42,761",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
1837,278,,,,,,,,,,,,,,"36,521",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
1838,292,,,,,,,,,,,,,,"38,726",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
1839,366,,,,,,,,,,,,,,"45,047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
1840,262,,,,,,,,,,,,,,"42,329",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
1841,393,,,,,,,,,,,,,,"35,043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
1842,413,,,,"22,510",,,,,,,,,,"32,805",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
1843,443,,,,,,,,,,,,,,"30,945",,,,,,,,,,,"2,251",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
1844,340,,,,"21,544",,,,,,,,,,"39,026",,,,,,,,,,,699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
1845,361,,,,,,,,"12,958",,,,,,"38,504",,,,,,,,,,,"1,624",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
1846,430,,,,,,,,"15,109",,,,,,"35,056",,,,,,,,,,,"2,210",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
1847,386,,,,,,,,"12,519",,,,,,"36,069",,,,,,,,,,,"2,009",,,,,,,,,,"31,961",,,,,,,,,,,,,,,,,,,,1,,
1848,231,,,,,,,,"9,061",,,,,,"34,489",,,,,,,,,,,"3,389",,,,,,,,,,"39,439",,,,,,,,,,,,,,,,,,,,1,,
1849,215,,,92,,,,,"11,040",,,,,,"36,232",,,,,,,,,,,"3,103",,,,,,,,,,"42,703",,,,,,,,,,,,,,,,,,,,1,,
1850,320,,,75,,,,,"11,610",,,,,,"42,298",,,,,,,,,,,"2,468",,,,,,,,,,"43,921",,,,,,,,,,,,,,,,,,,,1,,
1851,332,,,70,,,,,"10,733",,,,,,"40,953",,,,,,,,,,,"2,722",,,,,,,,,,"41,670",,,,,,,,,,,,,,,,,,,,1,,
1852,348,,,40,,,,,"11,854",,,,,,"30,883",,,,,,,,,,,"3,759",,,,,,,,,,"42,751",,,,,,,,,,,,,,,,,,,,1,,
1853,448,,,53,,,,,"12,546",,,,,,"50,141",,,,,,,,,,,"8,572",,,,,,,,,,"30,918",,,,,,,,,,,,,,,,,,,,1,,
1854,"15,498",,,32,,,,,"12,244",,,,,,"49,442",,,,,,,,,,,"5,539",,,,,,,,,,"17,863",,,,,,,,,,,,,,,,,,,,1,,
1855,"41,710",,,82,,,,,"13,634",,,,,,"40,673",,,,,,,,,,,"6,350",,,,,,,,,,"11,882",,,,,,,,,,,,,,,,,,,,1,,
1856,"34,248",,,232,,,,,"13,830",,,,,,"43,105",,,,,,,,,,,"6,370",,,,,,,,,,"17,877",,,,,,,,,,,,,,,,,,,,1,,
1857,"62,844",,,"9,871",,,,,"13,093",,,,,,"46,992",,,,,,,,,,,"7,197",,,,,,,,,,"14,156",,,,,,,,,,,,,,,,,,,,1,,
1858,"11,466",,,"1,949",,,,,"14,093",,,,,,"26,329",,,,,,,,,,,"4,128",,,,,,,,,,"24,506",,,,,,,,,,,,,,,,,,,,1,,
1859,"12,873",,,269,,,,,"12,040",,,,,,"37,257",,,,,,,,,,,"4,073",,,,,,,,,,"33,355",,,,,,,,,,,,,,,,,,,,1,,
1860,"18,331",,,"1,432","5,206",,,,"10,525",,,,,,"56,712",,,,,,,,,,,"3,025",,,,,,,,,,"25,530",,,,,,,,,,,,,,,,,,"568,538",,1,,
1861,"25,174",,,"1,592","5,206",,,,"12,087",,,,,,"50,245",,,,,,,,,,,"2,728",,,,,,,,,,"26,611",,,,,,,,,,,,,,,,,,"472,158",,1,,
1862,"12,131","16,120",,893,"8,813",,,,"12,088",,,,,,"54,374",,,,,,,,,,,"3,314",,,,,,,,,,"25,179",,,,,,,,,,,,,,,,,,"484,430",,1,,
1863,"10,288","18,577",,"8,976","7,988",,,,"13,343",,,,,,"64,487",,,,,,,,,,,"1,467",,,,,,,,,,"28,795",,,,,,,,,,,,,,,,,,"533,173",,1,,
1864,"12,010","28,062",,"15,256","6,194",,,,"11,832",,,,,,"70,246",,,,,,,,,,,40,,,,,,,,,,"32,104",,,,,,,,,,,,,,,,,,"537,341",,1,,
1865,"9,962","22,069",,"10,273","6,243",,,,"16,983",,,,,,"64,871",,,,,,,,,,,0,,,,,,,,,,"37,887",,,,,,,,,,,,,,,,,,"566,412",,1,,
1866,"8,189","20,394",63,"2,343","10,688",,,,"19,705",,,,,,"69,650",,,,,,,,,,,"2,426",,,,,,,,,,"45,306",,,,,,,,,,,,,,,,,,"612,113",,1,,
1867,"20,394","16,843",61,"4,987","3,443",,,,"21,374",,,,,,"70,067",,,,,,,,,,,"1,108",,,,,,,,,,"37,490",,,,,,,,,,,,,,,,,,"570,741",,1,,
1868,"39,502","9,962",54,"1,046","4,059",,,,"21,945",,,,,,"77,071",,,,,,,,,,,402,,,,,,,,,,"38,793",,,,,,,,,,,,,,,,,,"652,632",,1,,
1869,"37,817","12,077",61,"4,721","4,091",,,,"27,745",,,,,,"78,121",,,,,,,,,,,240,,,,,,,,,,"35,842",,,,,,,,,,,,,,,,,,"644,513",,1,,
1870,"12,661","7,482",51,205,"5,875",,,,"41,503",,,,,,"80,805",,,,,,,,,,,34,,,,,,,,,,"37,470",,,,,,,,,,,,,,,,,,"611,873",,1,,
1871,"14,776","5,813",62,274,"14,041",,,,"32,797",,,,,,"82,851",,,,,,,,,,,0,,,"41,071",,,,,,,"40,868",,,,,,,,,,,,,,,,,,"698,510",,1,,
1872,"51,844","4,240",100,290,"19,396",,,,"47,251",,,,,,"89,376",,,,,,,,,,,0,,,"36,764",,,,,,,"36,116",,,,,,,,,,,,,,,,,,"747,309",,1,,
1873,"64,380","15,264",76,197,"12,871",,,,"81,087",,,,,,"98,569",,,,,,,,,,,"2,355",,,"37,449",,,,,,,"25,805",,,,,,,,,,,,,,,,,,"868,741",,1,,
1874,"68,063","11,429",85,234,"9,113",,,,"64,668",,,,,,"82,897",,,,,,,,,,,"2,223",,,"36,022",,,,,,,"27,892",,,,,,,,,,,,,,,,,,"704,454",,1,,
1875,"29,183","5,420",83,324,"10,620",,,,"69,038",,,,,,"83,781",,,,,,,,,,,"1,893",,,"26,631",,,,,,,"33,342",,,,,,,,,,,,,,,,,,"852,841",,1,,
1876,"67,640","7,244",89,353,"9,116",,,,"64,719",,,,,,"90,697",,,,,,,,,,,0,,,"19,659","48,214",,,,,,"35,879",,,,,,,,,,,,,,,,,,"715,308",,1,,
1877,"70,736","10,029",72,334,"9,236",,,,"59,111",,,,,,"88,961",,,,,,,,,,,"2,415",,,"18,671","65,018",,,,,,"39,907",,,,,,,,,,,,,,,,,,"772,431",,1,,
1878,"160,291","4,201",114,473,"8,545",,,,"56,397",,,,,,"74,794",,,,,,,,,,,960,,,"16,317","54,413",,,,,,"29,494",,,,,,,,,,,,,,,,,,"893,460",,1,,
1879,"293,811","2,918",273,533,"10,658",,,,"106,332",,,,,,"68,931",,,,,,,,,,,"1,927",,,"17,154","54,683",,,,,,"36,238",,,,,,,,,,,,,,,,,,"1,051,982",,2,,
1880,"722,057","3,084",127,666,"2,986",,,,"47,420",,,,,,"79,036",,,,,,,,,,,0,,,"18,164","51,104",,,,,,"30,481",,,,,,,,,,,,,,,,,,"1,336,301",,2,,
1881,"783,881","3,705",106,688,"3,020","19,800","3,362",,"48,550",,,"9,400",,"125,956","74,087",,,,,,,,,,,"1,227",,,"19,724","68,770",,,,,,"38,769",,,,,,,,,,,,,,,,,,"1,380,899",,2,,
1882,"753,714","5,996",105,878,"3,941","19,800","3,392",,"54,728",,,"9,400",,"124,656","71,445",,,,,,,,,,,332,,,"21,302","51,104",,,,,,"39,381",,,,,,,,,,,,,,,,,,"1,410,244",,2,,
1883,"897,979","4,585",,"2,286","4,187","19,800","3,419",,"56,158",,,"9,400",,"123,426","70,736",,,,,,,,,,,"3,907",,,"31,688","62,863",,,,,,"24,904",,,,,,,,,,,,,,,,,,"1,554,657",,2,,
1884,"812,987","11,506",,923,"3,919","19,800","3,456",,"58,436",,,"9,400",,"122,196","68,669",,,,,,,,,,,635,,,"11,654","80,699",,,,,,"17,886",,,,,,,,,,,,,,,,,,"1,416,804",,2,,
1885,"818,367","31,507",66,"2,218","3,034","19,800","3,498",,"57,417",,,"9,400",,"120,999","66,508",,,,,,,,,,,"3,499",,,"17,036","57,016",,,,,,"39,519",,,,,,,,,,,,,,,,,,"1,514,105",,2,,
1886,"1,104,209","25,585",88,"3,251","2,468","18,300","3,541",,"55,859",,,"8,900",,"119,802","66,158",,,,,,,,,,,"2,039",,,"17,793","75,428",,,,,,"31,251",,,,,,,,,,,,,,,,,,"1,720,558",,3,,
1887,"1,228,229","13,522",81,"1,889","2,178","19,200","3,579",,"57,870",,,"10,000",,"118,604","69,935",,,,,,,,,,,"2,999",,,"17,479","107,345",,,,,,"15,471",,,,,,,,,,,,,,,,,,"1,891,257",,3,,
1888,"1,206,927","3,857",95,"2,195","2,571","20,200","3,611",,"67,383",,,"8,800",,"114,074","67,032",,,,,,,,,,,"1,256",,,"17,615","81,962",,,,,,"13,346",,,,,,,,,,,,,,,,,,"1,844,582",,3,,
1889,"1,047,018","1,540",124,"2,390","2,342","20,400","3,642",,"74,556",,,"9,000",,"111,877","72,286",,,,,,,,,,,"3,426",,,"17,169","105,621",,,,,,"12,394",,,,,,,,,,,,,,,,,,"1,769,389",,3,,
1890,"1,083,045","1,619",83,"1,710","4,009","21,500","3,670",,"73,713",,,"9,300",,"109,980","73,619",,,,,,,,,,,"1,444",,,"19,114","85,605",,,,,,"11,153",,,,,,,,,,,,,,,,,,"1,746,242",,3,,
1891,"1,228,066","1,017",73,"1,418","5,136","25,000","3,698",,"72,875",,,"9,200",,"107,960","76,295",,,,,,,,,,,"1,356",,,"20,053","32,352",,,,,,"12,469",,,,,,,,,,,,,,,,,,"1,860,133",,3,,
1892,"939,734",930,49,927,"53,026","23,800","3,723",,"84,858",,,"9,200",,"107,550","78,735",,,,,,,,,,,"1,764",,,"20,568","51,869",,,,,,"10,772",,,,,,,,,,,,,,,,,,"1,599,019",,3,,
1893,"590,531","2,389",24,214,"122,214","21,100","3,750",,"78,227",,,"9,300",,"107,210","66,714",,,,,,,,,,,798,,,"21,185","69,408",,,,,,"8,893",,,,,,,,,,,,,,,,,,"1,281,008",,2,,
1894,"449,634","5,684",28,249,"91,411","24,700","3,800",,"73,099",,,"9,100",,"111,010","65,318",,,,,,,,,,,0,,,"12,313","53,569",,,,,,"6,075",,,40,,,,,,,,,,,,,,,"1,161,796",,2,,
1895,"633,652","10,565",26,263,"81,293","26,400","3,700",,"70,139",,,"9,100",,"116,731","72,120",,,,,,,,,,,0,,,"11,559","65,306",,,,,,"3,546",,,37,,,,,,,,,,,,,,,"1,378,347",,2,,
1896,"881,443","12,301",25,244,"88,858","30,600","4,000",,"66,798",,,"9,300",,"90,187","75,898",,,,,,,,,,,966,,,"15,526","58,748",,,,,,"5,360",,,0,,,,,,,,,,,,,,,"1,534,842",,3,,
1897,"753,057","20,715",27,223,"144,059","25,800",400,,"70,102",,,"9,000",,"122,083","79,826",,,,,,,,,,,"2,238",,,"16,393","52,324",,,,,,"4,341",,,70,,,,,,,,,,,,,,,"1,536,304",,2,,
1898,"860,344","7,853",25,138,"142,000","26,100","4,200",,"71,297",,,"9,200",,"141,817","82,464",,,,,,,,,,,"1,888",,,"11,786","55,899",,,,,,"3,021",,,84,,,,,,,,,,,,,,,"1,605,596",,2,,
1899,"846,583","14,163",22,225,"140,000","28,200","4,400",,"75,049",,,"9,200",,"128,523","79,046",,,,,,,,,,,"1,620",,,"13,342","45,925",,,,,,"2,482",,,141,,,,,,,,,,,,,,,"1,606,641",,2,,
1900,"521,655","12,665",27,235,"138,000","33,449","4,400",,"80,296",,,"9,063","2,940","25,952","76,392",,,,,,,,,,,"3,785",,,"14,179","45,377",,,,,,"2,567",,,590,,,,,,,,,,,,,,,"1,265,138",,2,,
1901,"370,809","18,512",33,290,"136,000","21,968","4,100",,"79,830",,,"9,263","2,940","131,200","75,221",,,,,,,,,,,964,,,"16,609","44,947",,,,,,"1,958",,,98,,,,,,,,,,,,,,,"1,080,397",,2,,
1902,"444,692","13,492",30,308,"134,000","23,582","4,200",,"75,979",,,"9,263","2,940","147,764","74,694",,,,,,,,,,,"1,004",,,"19,001","30,928",,,,,,"2,191",,,131,,,,,,,,,,,,,,,"1,180,442",,2,,
1903,"618,931","12,428",38,256,"132,000","27,496","4,000",,"74,824",,,"9,163","2,940","196,952","66,876",,,,,,,,,,,824,,,"21,215","37,048",,,,,,"1,532",,,168,,,,,,,,,,,,,,,"1,381,097",,2,,
1904,"668,607","6,766",38,239,"130,000","25,611","3,900",,"70,592",,,"8,963","2,940","110,893","56,131",,,,,,,,,,,557,,,"21,847","37,147",,,,,,"1,522",,,332,,,,,,,,,,,,,,,"1,307,474",,2,,
1905,"517,486","2,641",44,254,"128,000","30,625","3,800",,"80,641",,,"11,180","2,940","206,300","57,876",,,,,,,,,,,499,,,"21,537","42,562",,,,,,"1,675",,,55,,,,,,,,,,,,,,,"1,319,463",,2,,
1906,"576,454","3,204",39,284,"126,000","35,440","3,800",,"55,224",,,"10,500","2,940","63,550","59,569",,,,,,,,,,,515,,,"25,125","57,161",,,,,,"1,768",,,0,,,,,,,,,,,,,,,"1,246,380",,2,,
1907,"592,336","4,199",41,257,"124,000","32,188","4,100",,"90,961",,,"10,270","2,940","128,520","59,912",,,,,,,,,,,524,,,"28,993","58,547",,,,,,"1,735",,,165,,,,,,,,,,,,,,,"1,377,425",,2,,
1908,"689,344","1,742",33,241,"122,000","25,741","6,400",,"98,071",,,"9,450","2,940","142,330","53,995",,,,,,,,,,,538,,,"29,145","56,649",,158,,,,"1,513",,,193,,,,,,,,,,,,,,,"1,470,283",,2,,
1909,"618,279","1,569",37,255,"120,000","33,775","2,600",29,"88,518",985,,"9,950","2,940","154,830","56,074",1,319,,,"34,063",,932,"8,644",,,596,672,"4,113","30,923","53,747",,182,"9,624","12,394","40,914","1,617","4,409",428,195,,"42,003",,,"1,787","1,879",98,,"1,274",,93,,"6,081",,"1,430,959",,3,,
1910,"800,303","1,617",37,281,"118,000","47,252","3,600",29,"137,417",985,,"12,290","2,940","168,360","62,430",1,319,,,"34,063",,932,"8,644",,,494,672,"4,113","37,335","52,669","68,891",227,"9,624","12,394","40,914","2,551","4,409",428,220,,"42,003",,,"1,787","1,879",98,,"1,274",,93,,"6,081",,"1,721,746",,3,,
1911,"923,130","2,599",34,307,"116,000","19,954","3,800",29,"139,526",985,,"10,510","2,940","136,090","57,146",1,319,,,"34,063",,932,"8,644",,,554,672,"4,113","27,267","44,293","68,891",355,"9,624","12,394","40,914","2,551","4,409",428,106,,"42,003",,,"1,787","1,879",98,,"1,274",,93,,"6,081",,"1,703,324",,3,,
1912,"924,965","4,860",34,314,"114,000","29,616","3,800",29,"132,534",985,,"12,230","3,050","144,650","55,422",1,319,,,"34,063",,932,"8,644",,,698,672,"4,113","21,972","45,732","68,891",233,"9,624",,"40,914","2,551","4,409",428,238,,"42,003",,,"1,787","1,879",98,,"1,274",,93,,"6,081",,"1,805,577",,3,,
1913,"760,955","3,314",37,292,"112,000","35,340","3,820",29,"130,398",985,,"12,020","3,220","168,170","56,067",1,319,,,"34,063",,932,"8,644",,,699,672,"4,113","25,148","40,207","68,891",,"9,624",,"40,914","2,551","4,409",428,220,,"42,003",,,"1,787","1,879",98,,"1,274",,93,,"6,081",,"1,538,194",,3,,
1914,"686,994","1,559",27,220,"110,000","17,388","2,734",,,,,"9,600","3,070","125,430","52,177",,,,,,,,,,,682,,,"28,179","27,463",,,,,,"2,171",,,165,,,,,,,,,,,,,,,"1,274,347",,3,,
1915,"840,319",592,19,241,"108,000","11,354","3,977",,,,,"8,050","3,070","105,180","50,711",,,,,,,,,,,454,,,"21,408","17,739",,,,,,"1,790",,,194,,,,,,,,,,,,,,,"1,443,535",,3,,
1916,"848,499","1,872",26,298,"106,000","4,482","5,946",,,,,"11,560","3,070","80,050","58,916",,,,,,,,,,,405,,,"20,280","11,558",,,,,,"1,523",,,208,,,,,,,,,,,,,,,"1,279,336",,3,,
1917,"1,044,248",470,30,380,"104,000","5,013",280,,,,,"3,550","3,070","114,450","47,157",,,,,,,,,,,302,,,"19,239","7,330",,,,,,955,,,99,,,,,,,,,,,,,,,"1,545,434",,3,,
1918,"592,231",261,21,342,"102,000","1,731","7,409",,,,,"2,540","3,070","94,530","59,807",,,,,,,,,,,187,,,"12,619","4,825",,,,,,773,,,132,,,,,,,,,,,,,,,"1,071,619",,3,,
1919,"610,360",578,36,365,"100,000","50,368","3,800",,,,,"20,120","3,070","137,530","114,800",,,,,,,,,,,173,,,"7,434","3,606",,,,,,"1,195",,,95,,,,,,,,,,,,,,,"1,412,620",,2,,
1920,"538,960","1,155",25,577,"101,323","47,543","3,900",,"87,144",,,"11,850","4,500","144,910","90,812",,,,,,,,,,,416,,,,"5,268",,,,,,"11,080",,,226,,,,,,,,,,,,,,,"1,189,960",,2,,
1921,"540,126",642,,203,"89,013","45,200","3,240",,"74,900",,,"12,560","2,860","134,680","57,696",,,,,,,,,,,470,,,,519,,,,,,850,,,201,,,,,,,,,,,,,,,"1,191,612",,2,,
1922,"796,124","1,232",,190,"91,291","50,940","5,230",,"47,331",,,"14,690","1,950","114,000","55,823",,,,,,,,,,,206,,,,"4,194",,,,,,"1,860","30,590",,183,,,,,,,,,,,,,,,"1,225,013",,3,,
1923,"810,944",724,,309,"13,385","54,710","5,070",,"29,047",,,"10,010","2,440","107,770","60,179",,,,,,,,,,,266,,,,"4,054",,,,,,"1,860","25,840",,297,,,,,,,,,,,,,,,"1,377,077",,3,,
1924,"910,294","2,437",32,283,"37,923","65,460","4,230",,"74,789",,,"12,530","3,520","140,680","80,242",,,,,,,,,,,349,,,,"4,052",,,,,,"1,359","18,770",,296,,,,,,,,,,,,,,,"1,734,187",,3,,
1925,"855,220","1,526",117,285,"31,057","50,085","4,665",104,"132,571",125,"3,885","14,874","3,652","145,495","80,769","8,788",0,,,386,,38,106,,"29,617",370,"1,095","3,104",290,"4,349","27,532",86,"5,162","3,642","40,005","1,715","25,320",219,314,0,"61,820","1,754",150,"1,569","3,040",170,459,442,,212,0,"12,302",,"1,558,485",,4,,
1926,"1,054,336","1,254",106,358,"32,735","63,512","5,225",258,"69,546",94,"3,241","16,081","4,204","145,497","81,912","11,415",1,,,270,,2,264,,"24,555",397,"1,169","3,814",184,"3,938","32,838",83,"4,966","4,583","31,378","1,839","28,759",104,443,0,"72,014","2,018",150,"1,660","2,785",169,572,462,,224,0,"15,685",,"1,725,097",,4,,
1927,"1,048,209","2,545",53,367,"42,888","43,285","4,446",289,"135,986",238,"2,586","14,252","5,119","120,569","84,220","10,666",4,,,289,,112,0,,"31,862",407,907,"5,152",103,"4,554","24,786",60,"3,911","2,189","27,686","1,352","26,469",237,354,0,"66,604",956,150,"1,669","2,115",39,602,601,,270,0,"13,076",,"1,732,234",,4,,
1928,"1,197,671","1,753",32,223,"48,210","41,580","4,594",226,"137,064",225,"2,616","14,286","5,234","123,844","62,026","9,457",1,,,179,,86,0,,"34,600",346,890,"5,429",192,"4,562","8,635",108,"4,186","2,455","26,749","1,750","15,480",258,433,0,"62,710",992,150,"1,740","2,565",24,468,490,,278,0,"17,216",,"1,842,010",,4,,
1929,"1,202,800","2,540",65,249,"42,457","44,893","5,403",105,"115,381",195,"2,490","14,715","5,852","116,958","69,629","15,224",1,,,135,,60,0,,"34,467",347,977,"6,086",79,"4,138","24,732",132,"4,460","2,205","23,599","2,362","23,438",234,553,218,"70,076",641,150,"1,688","2,973",172,586,488,,672,0,"16,397",,"1,861,020",,4,,
1930,"1,282,859","2,970",65,98,"37,285","40,973","6,217",108,"83,037",86,"2,631","14,100","6,500","116,424","62,910","14,380",0,,,86,,36,0,,"32,072",369,933,"5,083",172,"3,927","16,124",115,53,"3,639","19,090","2,485","27,133",217,585,8,"65,115",446,150,"1,525","2,055",150,410,365,,579,0,"13,410",,"1,866,977",,5,,
1931,"1,560,040","2,882",42,38,"28,206","35,020","5,721",102,"68,725",101,"2,576","11,973","6,707","115,689","66,849","14,633",0,,,66,,15,0,,"18,046",70,631,"4,215",81,"2,415","6,998",52,"2,810","2,344","16,131","2,426","27,182",180,660,5,"53,145",317,150,"1,287","1,636",124,283,400,,381,0,"11,921",,"2,073,274",,5,,
1932,"1,360,057","2,063",28,44,"17,090","28,671","3,621","1,184","70,619",39,"2,009","9,461","4,384","119,919","56,457","12,616",1,,,24,,6,0,,"12,288",38,447,"3,180",127,"1,130","5,229",24,"2,669",347,"13,714","2,226","16,490",119,722,0,"55,334",682,150,994,"1,691",168,205,299,,401,0,"10,917",,"1,817,883",,5,,
1933,"1,718,779","2,156",30,98,"6,540","27,430","3,970",510,"70,319",10,"1,980","7,760","3,060","137,790","66,380","13,360",0,,,20,,10,0,,"10,410",67,520,"2,470","5,180",960,"7,520",6,"2,660",690,"11,470","6,633","12,210",160,510,0,"57,580","1,000",150,"1,190","1,520",20,210,280,,320,0,"9,490",,"2,193,428",,5,,
1934,"1,246,739","3,266",30,60,"4,860","25,280","4,800",650,"91,586",20,"1,920","8,010","4,050","114,390","66,050","12,230",0,,,20,,20,0,,"10,060",110,680,"2,420","14,190",632,"6,510",11,"4,030",150,"12,740","5,203","9,070",210,500,0,"53,070","1,250",160,"1,280","1,700",20,330,280,,390,0,"10,350",,"1,719,328",,5,,
1935,"1,235,181","5,349",230,26,"6,450","32,480","5,610",900,"89,985",10,"2,150","9,180","4,550","86,870","73,130","13,320",0,,,20,,20,0,,"11,040",129,750,"2,350","10,400",717,"6,770",10,"2,960",140,"13,500","2,537","5,590",240,410,0,"69,850","1,090",140,"1,530","1,830",20,370,280,,420,0,"10,300",,"1,708,834",,5,,
1936,"1,208,012","2,197",30,0,"6,690","33,840","5,090","1,040","94,070",20,"2,190","9,680","4,880","81,270","79,280","13,530",0,,,30,,10,80,,"10,150",136,890,"2,100","13,680",758,"6,870",20,"2,480",170,"13,780","4,536","4,370",250,530,0,"102,730",310,160,"1,360","1,640",20,330,260,,490,0,"12,230",,"1,722,188",,5,,
1937,"1,224,464","2,035",40,0,"5,900","40,990","5,760","1,690","106,570",20,"2,430","11,170","5,580","92,820","81,760","11,360",0,,,30,,20,10,,"11,190",156,"1,000","2,330","14,370","1,165","7,700",30,"2,850",200,"13,430","2,098","4,040",220,570,0,"102,620",340,160,"1,330","1,920",20,440,290,,450,0,"13,160",,"1,774,728",,5,,
1938,"1,607,835","1,962",40,0,"6,550","39,440","6,010","1,780","126,700",50,"2,190","10,490","6,550","95,740","72,400","11,440",0,,,30,,10,0,,"13,080",226,900,"2,040","12,980","1,062","13,120",40,"1,700",195,"13,024","2,238","3,860",250,530,0,"113,460",60,200,"1,330",220,10,410,240,,500,0,"13,250",,"2,184,141",,5,,
1939,"1,477,740",863,40,0,,"30,200","6,680","1,210","173,960",40,"2,610","11,710",69,"99,440","78,500","16,061",0,,,30,,10,0,,"20,160",187,480,"2,050","14,800",875,"7,270",40,"2,050",190,"13,625","2,200","4,630",180,514,10,"68,480",100,180,640,90,0,350,260,,0,50,"16,810",,"2,055,383",,5,,
1940,"955,220",487,30,3,,"15,470","5,310","1,090","177,200",20,"2,290","8,950",27,"97,650","68,910","9,302",0,,,30,,10,0,,"23,060",120,630,"2,290","13,640",706,"4,980",28,"2,210",250,"12,196","1,940","4,140",190,498,10,"66,050",60,120,680,0,0,410,180,,0,30,"13,500",,"1,489,916",,4,,
1941,"1,015,120",657,30,1,,"19,240","1,450",490,"300,700",0,"3,010","4,360",21,"109,730","11,690","11,362",30,,,70,,0,0,,"12,970",29,460,"1,920","6,250",227,"6,060",10,"1,800",20,"12,133","1,660","4,480",190,481,0,"55,330",100,40,840,0,0,370,110,,0,20,"15,830",,"1,599,291",,4,,
1942,"459,580",230,20,3,,"10,440","1,450","1,110","288,620",10,"3,370","2,180","3,300","104,850","4,110","3,848",0,,,80,,130,0,,"5,010",14,600,"2,080","3,880",338,"4,090",17,910,30,"6,455",300,"8,110",40,465,0,"41,840",60,0,510,0,0,0,0,,0,0,"7,660",,"965,740",,4,,
1943,250,164,30,1,,"17,910",920,"1,570","283,288",10,"2,640","1,960","4,890","98,660","4,940",557,0,,,60,,0,0,,"3,360",,"1,000","1,330","15,850",33,"5,850",37,"1,650",20,"5,530",0,"23,650",10,449,0,"43,730",100,0,420,0,0,0,0,,0,0,"3,220",,"524,089",,4,,
