Quality,Country,Year,Cases
Standard,Ukraine,1993,0
Standard,Ukraine,1994,0
Standard,Ukraine,1995,0
Standard,Ukraine,1996,0
Standard,Ukraine,1997,250
Standard,Ukraine,1998,200
Standard,Ukraine,1999,150
Standard,Ukraine,2000,0
Standard,Ukraine,2001,250
Standard,Ukraine,2002,250
Standard,Ukraine,2003,500
Standard,Ukraine,2004,3250
Standard,Ukraine,2005,4750
Standard,Ukraine,2006,6750
Standard,Ukraine,2007,14000
Standard,Ukraine,2008,18750
Standard,Ukraine,2009,17550
Standard,Ukraine,2010,22500
Standard,Ukraine,2011,32750
Standard,Ukraine,2012,47800
Standard,Ukraine,2013,53500
Standard,Ukraine,2014,56700
Standard,Ukraine,2015,49200
Standard,Ukraine,2016,54500
Standard,DF British Isles (Inc. Ireland),1990,109000
Standard,DF British Isles (Inc. Ireland),1991,121000
Standard,DF British Isles (Inc. Ireland),1992,123000
Standard,DF British Isles (Inc. Ireland),1993,150500
Standard,DF British Isles (Inc. Ireland),1994,167750
Standard,DF British Isles (Inc. Ireland),1995,194000
Standard,DF British Isles (Inc. Ireland),1996,201000
Standard,DF British Isles (Inc. Ireland),1997,205250
Standard,DF British Isles (Inc. Ireland),1998,214000
Standard,DF British Isles (Inc. Ireland),1999,128250
Standard,DF British Isles (Inc. Ireland),2000,91500
Standard,DF British Isles (Inc. Ireland),2001,93500
Standard,DF British Isles (Inc. Ireland),2002,67000
Standard,DF British Isles (Inc. Ireland),2003,72500
Standard,DF British Isles (Inc. Ireland),2004,78250
Standard,DF British Isles (Inc. Ireland),2005,86500
Standard,DF British Isles (Inc. Ireland),2006,85750
Standard,DF British Isles (Inc. Ireland),2007,76250
Standard,DF British Isles (Inc. Ireland),2008,67000
Standard,DF British Isles (Inc. Ireland),2009,58250
Standard,DF British Isles (Inc. Ireland),2010,57500
Standard,DF British Isles (Inc. Ireland),2011,52600
Standard,DF British Isles (Inc. Ireland),2012,46200
Standard,DF British Isles (Inc. Ireland),2013,50350
Standard,DF British Isles (Inc. Ireland),2014,46010
Standard,DF British Isles (Inc. Ireland),2015,46210
Standard,DF British Isles (Inc. Ireland),2016,48675
Standard,DF Germany,1990,12500
Standard,DF Germany,1991,11000
Standard,DF Germany,1992,11000
Standard,DF Germany,1993,16000
Standard,DF Germany,1994,19750
Standard,DF Germany,1995,21000
Standard,DF Germany,1996,27000
Standard,DF Germany,1997,27500
Standard,DF Germany,1998,23000
Standard,DF Germany,1999,14500
Standard,DF Germany,2000,10250
Standard,DF Germany,2001,18250
Standard,DF Germany,2002,20250
Standard,DF Germany,2003,22000
Standard,DF Germany,2004,23750
Standard,DF Germany,2005,26000
Standard,DF Germany,2006,29000
Standard,DF Germany,2007,32150
Standard,DF Germany,2008,38550
Standard,DF Germany,2009,32250
Standard,DF Germany,2010,39500
Standard,DF Germany,2011,40500
Standard,DF Germany,2012,35295
Standard,DF Germany,2013,39355
Standard,DF Germany,2014,41950
Standard,DF Germany,2015,40150
Standard,DF Germany,2016,45615
Standard,Spain,1990,3000
Standard,Spain,1991,3000
Standard,Spain,1992,4000
Standard,Spain,1993,5000
Standard,Spain,1994,8750
Standard,Spain,1995,9750
Standard,Spain,1996,17250
Standard,Spain,1997,21000
Standard,Spain,1998,28000
Standard,Spain,1999,34250
Standard,Spain,2000,45250
Standard,Spain,2001,65750
Standard,Spain,2002,75500
Standard,Spain,2003,77500
Standard,Spain,2004,80250
Standard,Spain,2005,81500
Standard,Spain,2006,86250
Standard,Spain,2007,78500
Standard,Spain,2008,67500
Standard,Spain,2009,62500
Standard,Spain,2010,58000
Standard,Spain,2011,59250
Standard,Spain,2012,45750
Standard,Spain,2013,44250
Standard,Spain,2014,42250
Standard,Spain,2015,42500
Standard,Spain,2016,42700
Standard,DF US/Canada,1990,22000
Standard,DF US/Canada,1991,20000
Standard,DF US/Canada,1992,18000
Standard,DF US/Canada,1993,10250
Standard,DF US/Canada,1994,8750
Standard,DF US/Canada,1995,8750
Standard,DF US/Canada,1996,10000
Standard,DF US/Canada,1997,10000
Standard,DF US/Canada,1998,11750
Standard,DF US/Canada,1999,13500
Standard,DF US/Canada,2000,15500
Standard,DF US/Canada,2001,13250
Standard,DF US/Canada,2002,16500
Standard,DF US/Canada,2003,18000
Standard,DF US/Canada,2004,18250
Standard,DF US/Canada,2005,18500
Standard,DF US/Canada,2006,19750
Standard,DF US/Canada,2007,24000
Standard,DF US/Canada,2008,30500
Standard,DF US/Canada,2009,19550
Standard,DF US/Canada,2010,30500
Standard,DF US/Canada,2011,41550
Standard,DF US/Canada,2012,47950
Standard,DF US/Canada,2013,40200
Standard,DF US/Canada,2014,52350
Standard,DF US/Canada,2015,30700
Standard,DF US/Canada,2016,42480
Standard,Lithuania,1990,0
Standard,Lithuania,1991,0
Standard,Lithuania,1992,0
Standard,Lithuania,1993,0
Standard,Lithuania,1994,0
Standard,Lithuania,1995,250
Standard,Lithuania,1996,250
Standard,Lithuania,1997,550
Standard,Lithuania,1998,450
Standard,Lithuania,1999,500
Standard,Lithuania,2000,700
Standard,Lithuania,2001,650
Standard,Lithuania,2002,700
Standard,Lithuania,2003,850
Standard,Lithuania,2004,1150
Standard,Lithuania,2005,2150
Standard,Lithuania,2006,5700
Standard,Lithuania,2007,10450
Standard,Lithuania,2008,9000
Standard,Lithuania,2009,6900
Standard,Lithuania,2010,6850
Standard,Lithuania,2011,11300
Standard,Lithuania,2012,13400
Standard,Lithuania,2013,17500
Standard,Lithuania,2014,23650
Standard,Lithuania,2015,33200
Standard,Lithuania,2016,35800
Standard,Norway,1990,3500
Standard,Norway,1991,3700
Standard,Norway,1992,4000
Standard,Norway,1993,4900
Standard,Norway,1994,5800
Standard,Norway,1995,6500
Standard,Norway,1996,8000
Standard,Norway,1997,9400
Standard,Norway,1998,11100
Standard,Norway,1999,12950
Standard,Norway,2000,14050
Standard,Norway,2001,16600
Standard,Norway,2002,19850
Standard,Norway,2003,21600
Standard,Norway,2004,23650
Standard,Norway,2005,26350
Standard,Norway,2006,26750
Standard,Norway,2007,27850
Standard,Norway,2008,29000
Standard,Norway,2009,31500
Standard,Norway,2010,32600
Standard,Norway,2011,30100
Standard,Norway,2012,30500
Standard,Norway,2013,31250
Standard,Norway,2014,32850
Standard,Norway,2015,32250
Standard,Norway,2016,34750
Standard,Japan,1990,4750
Standard,Japan,1991,5250
Standard,Japan,1992,6250
Standard,Japan,1993,9000
Standard,Japan,1994,10150
Standard,Japan,1995,8800
Standard,Japan,1996,9600
Standard,Japan,1997,8700
Standard,Japan,1998,9900
Standard,Japan,1999,9900
Standard,Japan,2000,9700
Standard,Japan,2001,9350
